I,Q,bit0,bit1,bit2,bit3
-0.8556429574425006,-0.1224965612671498,0,1,0,0
-0.8782829670631779,-0.3048273224381498,0,1,0,0
-0.43464912633733005,-1.0390828384318587,0,0,0,1
-0.857216803128908,0.9363864652963794,1,0,0,0
1.2849985345654664,0.8862384221795314,1,0,1,0
0.6306080050456893,-0.7018022146014222,0,0,1,1
0.5005989967553679,0.3357057055043026,1,1,1,0
-0.17424796064701947,-0.8086459467146871,0,1,0,1
-1.3843045960562264,0.19166395727958796,1,1,0,0
0.46164087700116896,0.4610724947645012,1,1,1,1
0.6300639868298105,1.272979658536361,1,0,1,1
-0.49377355940917145,1.037201652605173,1,0,0,1
1.1319732560463243,-0.10383300588245797,0,1,1,0
-0.2596091097468344,1.3780313867921326,1,0,0,1
-0.3730006269641552,0.6145577783741785,1,1,0,1
-0.5461669568363051,0.9430522972896755,1,0,0,1
0.17025562965030325,0.9454119190194041,1,0,1,1
-0.20705972492896657,0.18997441234747858,1,1,0,1
-0.7732507360388992,0.6444620664907892,1,1,0,0
-1.0183666279259245,0.9829324448236026,1,0,0,0
1.0085906707451688,-0.9133066731641132,0,0,1,0
1.0427223433389199,0.6751871573655636,1,0,1,0
1.2974612039090627,0.6303182526302277,1,0,1,0
-0.7359671058114509,1.2086661777437198,1,0,0,0
-0.5565659988758733,1.0813014925570754,1,0,0,1
-0.27525372277240734,0.8531499824771703,1,0,0,1
-0.7234877442223014,-0.7650696329685598,0,1,0,0
1.210954059174346,1.077483611201303,1,0,1,0
-0.8949341082511068,-0.2528541567824741,0,1,0,0
0.9787920120096499,-0.467539396168561,0,1,1,0
0.5047171357041459,0.6897350329740819,1,0,1,0
1.0981900947696714,-0.9542138881071912,0,0,1,0
-0.509791259334909,1.098200032848221,1,0,0,0
-0.9928750414758164,-0.9800483748032492,0,0,0,0
-1.0577959899570217,-0.5539578252302622,0,0,0,0
0.9150210309950976,0.016522711400658308,0,1,1,0
0.4765239363890098,-0.017458890268052973,1,1,1,1
1.2480593481406508,0.6201404538917217,1,1,1,0
-0.9011012652667408,0.363339414159989,1,1,0,0
-0.3058537635987451,0.8720994719469879,1,0,0,1
-0.996029748219646,-1.2296817487748988,0,0,0,0
-0.3380736769160353,0.3283379937200027,1,1,0,1
-1.3693572044841067,-0.41031627093778156,0,1,0,0
-1.0118221909571663,-0.09028343579870537,0,1,0,0
-0.3653703042966785,-0.4388379781972501,0,1,0,1
-0.7853490689400597,0.4303193289987548,1,0,0,0
0.3117910092514693,0.7345842389693997,1,1,1,1
-0.8655892103064033,-1.2097867831204638,0,0,0,0
-1.8205510022207871,0.36528328513437214,1,1,0,0
0.23494341054046253,-0.05931359607853948,0,1,0,1
0.955803023436355,1.086831855459819,1,0,1,0
-0.4577269246794746,0.10477614338315586,1,1,0,1
-0.3813180614580894,0.7465411020897452,1,0,0,1
1.0595135165399443,-0.264791338370824,0,1,1,0
-0.17616487615687468,-1.1009390365000093,0,0,0,1
-0.11855558178781161,-0.906290681341822,0,0,0,1
-0.6455359377380088,0.8541738926243139,1,0,0,1
-0.27918426218949727,0.5189553545746164,1,1,0,1
0.8402751207322918,-0.945171146307672,0,0,1,1
0.3859405788003721,-0.7136913738449067,0,0,1,1
-0.36207304482724445,-0.835744955202848,0,0,0,1
1.0543033387091434,0.3465873942140578,1,1,1,0
1.0245145533844224,0.5462711956511501,1,0,1,0
0.2979617147101453,0.7603091553859435,1,0,1,1
0.12654877522615646,1.1018526110411608,1,0,1,1
0.7250500808147802,-0.8567764381876233,0,0,1,0
0.6844676377497851,0.36838951664671166,1,1,1,0
0.9176092308131798,0.4902206866855455,1,1,1,0
-0.042431780527133645,1.2560192269125126,1,0,0,1
0.48734948430649583,1.4571148558990097,1,0,1,1
0.649921620226785,-1.0359170478937947,0,0,1,0
-1.066745471012919,1.295550184136592,1,0,0,0
0.47135376389728467,0.6436888282848554,1,1,1,0
0.07324341595355022,1.2020186328424272,1,0,0,1
0.04835796340421833,-0.024579045384959752,0,1,0,1
0.8924165031799981,1.072903531711973,1,0,1,0
0.46788212819474595,0.7992756987745243,1,0,1,1
-1.2782465945381432,0.6587333358210858,1,0,0,0
-0.9072454311063576,0.3375197688328628,1,1,0,0
0.7977326360943502,-0.3974683442490488,0,1,1,0
-0.24913618030036325,1.035101428602895,1,0,0,1
-1.3271601428813073,1.1589672945118827,1,0,0,0
0.48034969115938475,-0.5218802828260485,0,1,1,1
1.0862594076933547,0.040979107236959855,1,1,1,0
-0.9437942205815169,-0.8207354978187243,0,0,0,0
-0.8763769530483001,-1.2785826038121892,0,0,0,0
-0.6834406248195461,-0.6425531644457922,0,1,0,0
-0.2941202790099109,-0.9259809125385344,0,0,0,1
0.11252219984422981,-0.3602800410184725,0,1,1,1
-1.0639039654944813,0.4096639648405649,1,1,0,0
0.8964169805565715,1.123824346134369,1,0,1,0
-0.33671391405598144,-0.3808048011159002,0,1,0,1
-0.9343282732409279,0.3758291141137417,1,1,0,0
-0.2726492013770667,0.452111810965245,1,1,0,1
-0.15133015387893586,-0.3289178875307627,0,1,0,1
-0.4446750656140771,0.03936230565099197,1,1,0,1
-0.7645174824658002,0.23907945488745547,1,1,0,0
-0.8198101733286136,0.328569002904523,1,1,0,0
-0.3548558849879385,-0.2768134363554969,0,1,0,1
