I,Q,bit0,bit1,bit2,bit3
0.9022194517402128,-0.42427743730296796,0,1,1,0
1.0923767406343843,-0.9455111114031289,0,0,1,0
-1.0014178370694884,-0.901242824733695,0,0,0,0
0.37389476467982363,0.943875923421074,1,0,1,1
-0.3990939395712543,-1.0181641227985263,0,0,0,1
0.8347189578486839,-0.2923286502205586,0,1,1,0
-0.22406480036448015,-0.2449832462128354,0,1,0,1
-0.36284257307862516,-0.8911320998661121,0,0,0,1
-0.38204444489869993,-0.2284817397470507,0,1,0,1
1.0533801988463654,-0.9560341995597064,0,0,1,0
0.9882027808683794,0.2921309955844399,1,1,1,0
0.9149392868925373,1.1273324853178788,1,0,1,0
0.9002206340644562,-0.2319077765974122,0,1,1,0
-0.4737873219387778,0.9524758667756841,1,0,0,1
0.4554882514640803,0.9369704622882183,1,0,1,1
0.37966629915633554,0.355717717681031,1,1,1,1
0.9597670089388084,0.21317429206443467,1,1,1,0
0.32483086779949044,-0.8770300705629375,0,0,1,1
-1.0168589222324647,-0.8801021559628033,0,0,0,0
0.8016840854197794,-0.8339848489912304,0,0,1,0
-0.8582180302500612,1.0317689398605343,1,0,0,0
-0.3389214134832533,-0.26432695846437415,0,1,0,1
0.2033453700802595,0.8945718636602558,1,0,1,1
-0.874533692756098,0.9398305073355507,1,0,0,0
0.322601155417939,0.9061033992909255,1,0,1,1
-0.8929617321918656,-0.24487231541897042,0,1,0,0
0.17975056572098735,1.040543574946292,1,0,1,1
-0.9901951805886575,0.3295254118039967,1,1,0,0
0.9368319368576425,-1.056543183148063,0,0,1,0
-0.22891962890292333,-0.42485306592360156,0,1,0,1
-1.1319427214174798,-1.051008054102264,0,0,0,0
0.8991544106583943,-0.3058921052263187,0,1,1,0
-0.43213672521664837,-0.3230762215517116,0,1,0,1
0.9671258764710996,-1.037662846607866,0,0,1,0
0.35100102935762023,-0.3416936868029441,0,1,1,1
0.4107652443548012,-0.9014462729788136,0,0,1,1
-0.20483754137246207,1.147747476689694,1,0,0,1
-0.9330655619900933,-0.3080311398883012,0,1,0,0
-0.24409166808135907,0.8654505205593575,1,0,0,1
-0.17094485607531332,-1.0319763798626613,0,0,0,1
-0.8855915090505573,0.36774985292051043,1,1,0,0
0.8818734237925386,0.37822185488066307,1,1,1,0
0.8728022086101013,0.3615927782385857,1,1,1,0
-0.9715485589913603,-0.3294207317223838,0,1,0,0
0.8155549445029737,-1.0916287841718328,0,0,1,0
0.34839003696339466,-0.4060591965401461,0,1,1,1
-0.29133774248941896,0.3039701193587828,1,1,0,1
-0.44931854904453705,0.26439409628790356,1,1,0,1
-0.933258032625217,-0.2108642489518021,0,1,0,0
-0.782266593622349,0.3497126487570092,1,1,0,0
0.16005555563182947,0.9938707888758632,1,0,1,1
1.0788727986630193,-0.36976191975916994,0,1,1,0
-0.35919317645842586,-0.34583899311105765,0,1,0,1
0.3931249962948277,1.00697885102562,1,0,1,1
0.918980558432738,0.28680639896333765,1,1,1,0
0.27741748536774735,-0.3214344879879493,0,1,1,1
-0.1252058854246253,0.9472317487119003,1,0,0,1
-0.2004914456727681,0.351266090585445,1,1,0,1
-0.24743485752689948,0.8869257075266578,1,0,0,1
0.9105642894608376,0.8276721819034502,1,0,1,0
-1.0051583485333921,-0.42135999223857973,0,1,0,0
-0.9709305999956739,-0.38071300202223624,0,1,0,0
0.15329655472987022,0.23052935078103898,1,1,1,1
-0.9956769443781757,0.29529956353440806,1,1,0,0
-1.0049513849938065,-0.3505961319620855,0,1,0,0
0.7085935516916997,-1.128791127745719,0,0,1,0
-0.34491128212828326,-0.28057266524752045,0,1,0,1
0.2877769153065285,0.24945459022196592,1,1,1,1
-0.5627089933652667,0.8533307252668478,1,0,0,1
-0.3406427268322034,-0.21198099698092243,0,1,0,1
-0.8956400647743707,0.5460288015279103,1,1,0,0
-0.8513667468068877,-0.19221901636982858,0,1,0,0
-0.8974210282073515,0.18514123074484654,1,1,0,0
-0.9114918597683287,-0.9850032981617584,0,0,0,0
0.29601050233333215,-0.9848320247786907,0,0,1,1
-0.9950713967104972,-0.369190197659688,0,1,0,0
0.5105784539533829,0.30292795941698736,1,1,1,1
-0.8487951751274342,0.18131018614967764,1,1,0,0
-0.20989088591093755,0.8793727163764598,1,0,0,1
0.20555300248681296,0.8338249092346366,1,0,1,1
-0.28958390273011353,-0.83109820436538,0,0,0,1
-0.9229276297971837,-0.494022741342551,0,1,0,0
0.9627503258595791,-1.030156301291995,0,0,1,0
0.3489112203442907,-0.46080404687697374,0,1,1,1
0.960503438019655,0.8926045564426313,1,0,1,0
-0.34169095903296864,-1.0757398801502829,0,0,0,1
-0.31665794510726486,-0.25820480886747543,0,1,0,1
-0.3268114739738971,-0.8323756428427358,0,0,0,1
1.0919403413372115,-0.3603544333700657,0,1,1,0
-0.45145271459438296,-0.39893151305283303,0,1,0,1
0.903968940701247,0.18642581774149866,1,1,1,0
1.003089173118976,-0.28225210135261103,0,1,1,0
-0.3463977796790635,-0.3103862585051842,0,1,0,1
-1.028493144339909,0.9799232421992127,1,0,0,0
0.9400283764966374,-0.9223989105399767,0,0,1,0
0.19967071725284255,0.974299696172834,1,0,1,1
-0.2539821772878561,1.1236724808167007,1,0,0,1
-0.8098793261792095,-0.8903153426291938,0,0,0,0
-1.0314186165231407,-0.8501189406302619,0,0,0,0
0.9453350863718714,1.1005718167351157,1,0,1,0
1.0025381975047092,1.052362711212176,1,0,1,0
0.873327996813056,0.9621419661552008,1,0,1,0
0.8636819279855146,-0.9612395484257669,0,0,1,0
0.2555213643995843,-0.35612017918749506,0,1,1,1
-0.8642367233798314,0.3564863671352507,1,1,0,0
-0.9401496765943513,0.9714669537231778,1,0,0,0
0.865542258107385,-0.3732422433586245,0,1,1,0
0.32916216632010026,-1.0072795504996894,0,0,1,1
-0.8801576135533362,-1.0107470829680807,0,0,0,0
0.16360997953329737,-0.9392541743782926,0,0,1,1
0.9931846730717121,-0.908157756142324,0,0,1,0
-0.39002531760895015,-0.9336997615401115,0,0,0,1
1.090783440904244,1.05289531488258,1,0,1,0
-0.16285220091307331,-0.9915258729123655,0,0,0,1
-1.0797077397419468,0.8004774149540418,1,0,0,0
0.9065751654448664,-0.3258831467387615,0,1,1,0
1.0562044180799859,-0.2682207602674526,0,1,1,0
0.3720552564177807,-0.4123562055441793,0,1,1,1
0.8663202236016336,0.18460384167427576,1,1,1,0
0.2846561350963935,-0.9409448316274565,0,0,1,1
-0.7708584928205762,-0.1389883673484145,0,1,0,0
0.34327024598301764,-0.30393665151271376,0,1,1,1
-0.3981883118223296,-0.9569845885103399,0,0,0,1
0.2597818041209843,-0.2773164510426937,0,1,1,1
0.21947205189050645,-1.048097003032073,0,0,1,1
0.3785214301380727,-0.9375475952887709,0,0,1,1
0.3606173641199539,-0.9500647629212793,0,0,1,1
0.3864941628088616,-0.9446108461015758,0,0,1,1
-0.9959027165716402,0.8937343238853808,1,0,0,0
-0.9552913304011746,-0.7524532644510431,0,0,0,0
-0.9292440168734867,0.9492621588329959,1,0,0,0
-0.27335124081066603,0.3952690708741832,1,1,0,1
-1.0020663016727134,-0.3183308167826538,0,1,0,0
0.35742504328007874,-0.9534229403792631,0,0,1,1
-0.30771049432626174,0.8352165874325764,1,0,0,1
0.8836328509795952,0.9797142888132335,1,0,1,0
-0.9547792000781061,0.36114292701021833,1,1,0,0
-0.7430685252721909,-0.2551660142410499,0,1,0,0
0.3280048042446149,-0.35636435351212503,0,1,1,1
1.0071508460122764,0.3983326271004042,1,1,1,0
