Q_Analog,Q_Boolean,I_Analog,I_Boolean,bit0,bit1,bit2,bit3
0.438145761,11111111111111111111111100000000,0.29756515,11111111111111111110000000000000,1,1,1,1
-0.34110003,11111111111000000000000000000000,-0.09801102,11111111111111110000000000000000,0,1,0,1
-0.92982991,11111000000000000000000000000000,0.31164414,11111111111111111111000000000000,0,0,1,1
0.414450725,11111111111111111111111100000000,-0.98841005,11000000000000000000000000000000,1,1,0,0
0.306302,11111111111111111111000000000000,0.8831008,11111111111111111111111111000000,1,1,1,0
1.02174175,11111111111111111111111111111110,0.23918412,11111111111111111000000000000000,1,0,1,1
-0.92270362,11111000000000000000000000000000,0.26706213,11111111111111111100000000000000,0,0,1,1
-0.3287172,11111111111000000000000000000000,1.00437955,11111111111111111111111111111110,0,1,1,0
-0.92544813,11111000000000000000000000000000,0.96508705,11111111111111111111111111111000,0,0,1,0
0.332836279,11111111111111111111100000000000,-0.29796323,11111111111110000000000000000000,1,1,0,1
-0.33654825,11111111111000000000000000000000,0.36404325,11111111111111111111110000000000,0,1,1,1
1.004847309,11111111111111111111111111111110,-0.89434492,11111100000000000000000000000000,1,0,0,0
-0.38971809,11111111100000000000000000000000,0.98089044,11111111111111111111111111111100,0,1,1,0
0.82884785,11111111111111111111111110000000,0.44630261,11111111111111111111111100000000,1,0,1,1
-0.42736071,11111111000000000000000000000000,0.93184035,11111111111111111111111111110000,0,1,1,0
-0.27747967,11111111111110000000000000000000,0.40769747,11111111111111111111111100000000,0,1,1,1
0.32464202,11111111111111111111100000000000,-1.08115065,00000000000000000000000000000000,1,1,0,0
0.324808323,11111111111111111111100000000000,0.30103186,11111111111111111111000000000000,1,1,1,1
0.356435382,11111111111111111111110000000000,-0.22141239,11111111111111100000000000000000,1,1,0,1
1.030074441,11111111111111111111111111111110,-1.02070407,10000000000000000000000000000000,1,0,0,0
-1.05051522,00000000000000000000000000000000,0.23577754,11111111111111111000000000000000,0,0,1,1
0.301661269,11111111111111111110000000000000,-0.9909044,11000000000000000000000000000000,1,1,0,0
-0.33810174,11111111111000000000000000000000,0.19797494,11111111111111110000000000000000,0,1,1,1
1.044285621,11111111111111111111111111111111,-0.30748259,11111111111100000000000000000000,1,0,0,1
-0.96344804,11100000000000000000000000000000,0.30080037,11111111111111111111000000000000,0,0,1,1
0.919040357,11111111111111111111111111100000,0.83995684,11111111111111111111111110000000,1,0,1,0
0.99615725,11111111111111111111111111111100,-0.26141427,11111111111111000000000000000000,1,0,0,1
0.859725817,11111111111111111111111110000000,0.90297202,11111111111111111111111111000000,1,0,1,0
-0.94081964,11110000000000000000000000000000,0.77259371,11111111111111111111111100000000,0,0,1,0
-1.10290047,00000000000000000000000000000000,-0.2764564,11111111111111000000000000000000,0,0,0,1
0.872272836,11111111111111111111111110000000,-0.27228544,11111111111111000000000000000000,1,0,0,1
-0.35364697,11111111110000000000000000000000,0.24000352,11111111111111111000000000000000,0,1,1,1
0.94791285,11111111111111111111111111110000,0.42684167,11111111111111111111111100000000,1,0,1,1
-1.08089957,00000000000000000000000000000000,-0.89035186,11111100000000000000000000000000,0,0,0,0
0.305875034,11111111111111111111000000000000,1.01928126,11111111111111111111111111111110,1,1,1,0
-0.95026095,11100000000000000000000000000000,-0.35428428,11111111110000000000000000000000,0,0,0,1
0.841342761,11111111111111111111111110000000,-0.26448271,11111111111111000000000000000000,1,0,0,1
-0.24382273,11111111111111100000000000000000,-0.26134135,11111111111111000000000000000000,0,1,0,1
0.931294532,11111111111111111111111111110000,-0.26823156,11111111111111000000000000000000,1,0,0,1
0.915762319,11111111111111111111111111100000,-0.86031443,11111110000000000000000000000000,1,0,0,0
