,Test 20dB,Test 18.75dB,Test 17.5dB,Test 15dB,Test 10dB,Test 5dB
Train 20dB,99.60%,99.14%,97.86%,92.10%,66.10%,39.11%
Train 18.75dB,99.97%,99.95%,99.02%,95.19%,69.08%,40.99%
Train 17.5dB,99.87%,99.80%,99.44%,95.47%,71.21%,42.10%
Train 15dB,99.99%,99.89%,99.59%,96.61%,71.55%,41.77%
Train 20dB + 18.75dB,100.00%,99.94%,99.08%,94.98%,68.40%,40.33%
Train 20dB + 17.5dB,99.99%,99.88%,99.77%,96.81%,72.41%,42.66%
Train 20dB + 15dB,99.95%,99.89%,99.53%,96.64%,71.58%,42.01%
Train 18.75dB + 17.5dB,100.00%,99.95%,99.75%,96.74%,72.56%,43.08%
Train 18.75dB + 15dB,100.00%,99.90%,99.60%,96.74%,71.65%,42.21%
Train 17.5dB + 15dB,100.00%,99.92%,99.68%,97.22%,73.50%,43.50%
Train 20dB + 18.75dB + 17.5dB,100.00%,99.95%,99.71%,96.80%,72.63%,42.99%
Train 20dB + 18.75dB + 15dB,99.97%,99.91%,99.38%,96.77%,72.35%,42.72%
Train 20dB + 17.5dB + 15dB,100.00%,99.90%,99.64%,97.07%,73.14%,43.35%
Train 18.75dB + 17.5dB + 15dB,99.97%,99.90%,99.58%,96.99%,73.05%,43.22%
Train 20dB + 18.75dB + 17.5dB + 15dB,99.99%,99.92%,99.74%,97.41%,73.88%,43.76%
