,Test 20dB,Test 15dB,Test 10dB,Test 5dB
Train 20dB,99.60%,92.10%,66.10%,39.11%
Train 15dB,99.98%,96.69%,71.22%,41.99%
Train 10dB,99.74%,91.54%,63.56%,36.39%
Train 5dB,97.46%,89.14%,66.44%,41.90%
Train 20dB + 15dB,100.00%,97.41%,73.88%,43.27%
Train 20dB + 10dB,99.71%,90.55%,61.53%,34.69%
Train 20dB + 5dB,96.18%,73.41%,42.99%,24.75%
Train 15dB + 10dB,99.90%,93.60%,65.05%,37.09%
Train 15dB + 5dB,99.08%,86.26%,54.61%,30.65%
Train 10dB + 5dB,99.20%,89.66%,61.49%,35.27%
Train 20dB + 15dB + 10dB,99.72%,91.89%,63.45%,35.95%
Train 20dB + 15dB + 5dB,98.64%,82.27%,48.52%,26.88%
Train 20dB + 10dB + 5dB,98.11%,81.51%,51.10%,28.82%
Train 15dB + 10dB + 5dB,99.37%,88.39%,57.21%,32.11%
Train 20dB + 15dB + 10dB + 5dB,98.69%,84.01%,52.23%,29.30%
