,Test 20dB,Test 18.75dB,Test 17.5dB,Test 15dB,Test 10dB,Test 5dB
Train 20dB,100.00%,99.77%,99.37%,91.95%,43.72%,23.17%
Train 18.75dB,99.93%,100.00%,99.40%,92.89%,48.85%,24.86%
Train 17.5dB,99.98%,99.94%,99.95%,95.29%,50.26%,26.57%
Train 15dB,99.81%,99.45%,99.32%,98.09%,62.18%,30.79%
Train 20dB + 18.75dB,99.99%,100.00%,99.47%,94.09%,49.09%,24.90%
Train 20dB + 17.5dB,100.00%,99.95%,99.94%,95.44%,50.31%,26.27%
Train 20dB + 15dB,100.00%,99.64%,99.44%,98.04%,61.22%,30.77%
Train 18.75dB + 17.5dB,99.99%,99.99%,99.92%,95.56%,52.08%,27.20%
Train 18.75dB + 15dB,99.94%,99.86%,99.56%,98.14%,61.82%,31.03%
Train 17.5dB + 15dB,99.96%,99.78%,99.66%,98.20%,61.31%,30.71%
Train 20dB + 18.75dB + 17.5dB,99.99%,99.99%,99.94%,95.88%,52.23%,27.29%
Train 20dB + 18.75dB + 15dB,99.99%,99.84%,99.58%,98.19%,62.09%,31.56%
Train 20dB + 17.5dB + 15dB,99.97%,99.79%,99.67%,98.28%,61.60%,31.55%
Train 18.75dB + 17.5dB + 15dB,99.96%,99.91%,99.71%,98.03%,60.44%,30.94%
Train 20dB + 18.75dB + 17.5dB + 15dB,99.96%,99.92%,99.73%,98.21%,61.20%,31.26%
